utilization_type,total_medicaid_spending,total_non_medicaid_spending,total_prescriptions,total_units
MCOU,40944834580.97,2245291641.5,316018735.0,19585123760.033
FFSU,36808289338.75,1197591759.45,221864286.0,14688927984.0
