state,labeler_code,total_prescriptions,total_medicaid_spending,drug_count
AK,00009,577.0,21843.99,4
AK,00245,576.0,18383.72,7
AK,75834,571.0,15054.65,7
AK,44567,568.0,21540.33,4
AK,75907,560.0,26128.92,8
AK,10572,535.0,21070.260000000002,1
AK,35573,528.0,16515.15,1
AK,55150,514.0,38757.64,10
AK,70860,508.0,4977.17,3
AK,52536,492.0,59608.770000000004,2
AK,57894,490.0,3384386.69,6
AK,65649,488.0,788096.48,5
AK,00186,488.0,130526.04000000001,2
AK,81964,472.0,7113.3,1
AK,70436,438.0,8534.01,4
AK,76385,432.0,12208.86,3
AK,00548,422.0,196044.54,3
AK,60758,422.0,30688.74,3
AK,61442,407.0,11392.53,3
AK,24478,405.0,158637.31,2
AK,69367,390.0,16891.93,7
AK,00430,389.0,74843.0,1
AK,17772,383.0,178743.25,2
AK,62175,380.0,11560.15,2
AK,49483,370.0,4184.139999999999,4
AK,50474,366.0,775459.69,3
AK,52268,366.0,24427.18,2
AK,58284,365.0,667851.3799999999,1
AK,72618,360.0,478766.1,1
AK,59310,359.0,69430.8,2
AK,11527,357.0,7393.23,1
AK,69918,349.0,23975.82,2
AK,00642,329.0,64497.53,1
AK,58657,328.0,8323.42,4
AK,68968,324.0,41392.16,2
AK,71376,321.0,129650.31,1
AK,42799,319.0,10845.46,5
AK,51759,318.0,223900.87,2
AK,58406,307.0,2251375.5500000003,2
AK,72060,303.0,482059.83999999997,1
AK,83257,303.0,135342.39,4
AK,70512,295.0,1896.52,2
AK,59011,291.0,124474.51999999999,1
AK,50419,285.0,343456.9,3
AK,71930,280.0,6075.84,1
AK,53489,273.0,5183.29,3
AK,49230,273.0,1730.33,1
AK,00032,272.0,375013.88,1
AK,43386,271.0,12123.24,3
AK,54838,270.0,16140.98,2
AK,00472,263.0,5356.86,3
AK,43975,260.0,8392.86,2
AK,70748,256.0,10589.67,3
AK,63646,249.0,8472.17,1
AK,60793,229.0,61719.56,1
AK,49702,219.0,766468.0,5
AK,69680,215.0,4617.880000000001,1
AK,71699,213.0,257053.09,1
AK,42023,208.0,17899.7,3
AK,72511,207.0,115477.76000000001,1
AK,73302,205.0,11733.42,1
AK,42794,205.0,4432.54,2
AK,14539,195.0,5193.96,1
AK,72252,187.0,223343.11,1
AK,64950,184.0,10460.58,1
AK,61755,180.0,195018.22,2
AK,54643,179.0,20958.309999999998,2
AK,68084,175.0,9662.279999999999,1
AK,66689,167.0,23522.65,1
AK,64406,163.0,1225537.51,1
AK,61703,155.0,2728.9700000000003,2
AK,65038,151.0,42219.44,1
AK,61269,143.0,32000.2,1
AK,73336,141.0,65329.3,1
AK,51660,140.0,3829.72,2
AK,73473,140.0,3307.11,1
AK,17270,139.0,4847.67,1
AK,70127,136.0,263822.61,1
AK,13533,121.0,274009.69,2
AK,81968,120.0,114919.53,1
AK,00990,118.0,2324.8,2
AK,70677,114.0,3331.31,1
AK,72241,113.0,1105.48,2
AK,60687,113.0,517.73,1
AK,00004,105.0,5887.139999999999,1
AK,73594,97.0,301962.07,1
AK,66733,96.0,224000.34,1
AK,73562,96.0,142629.19,1
AK,70370,95.0,1110362.1099999999,2
AK,49401,91.0,137771.41,1
AK,76045,88.0,887.55,2
AK,00955,84.0,18024.28,2
AK,59467,83.0,11032.15,1
AK,52652,80.0,52674.79,1
AK,51862,80.0,4076.33,1
AK,00254,79.0,4614.21,1
AK,82293,79.0,1904.07,1
AK,71093,78.0,2063.45,2
AK,54123,72.0,25716.09,1
AK,00259,72.0,8797.73,1
AK,50268,69.0,3534.6499999999996,1
AK,54436,68.0,37077.240000000005,1
AK,64679,66.0,13093.92,1
AK,39328,66.0,1500.46,1
AK,59365,64.0,74144.63,1
AK,69639,64.0,31710.120000000003,1
AK,36000,59.0,559.12,3
AK,68094,55.0,1781.37,2
AK,72626,54.0,414136.06,1
AK,71671,54.0,11364.79,1
AK,55566,53.0,13303.72,1
AK,67386,51.0,158220.1,1
AK,00187,51.0,45554.28,1
AK,70539,49.0,132774.78,1
AK,00013,48.0,25807.21,1
AK,65597,46.0,194110.71000000002,1
AK,29033,46.0,1712.66,1
AK,64661,45.0,6452.19,1
AK,72516,45.0,1080.35,1
AK,71839,44.0,860.82,1
AK,75987,43.0,579970.44,1
AK,70505,42.0,4060.82,1
AK,44523,42.0,2627.76,1
AK,51079,40.0,683.01,3
AK,70594,39.0,675.3,1
AK,63833,36.0,224039.08000000002,1
AK,00131,34.0,30373.22,1
AK,52015,33.0,114871.52,1
AK,55724,33.0,25806.97,1
AK,39822,31.0,320.83,1
AK,51224,30.0,740.99,1
AK,68817,29.0,31037.28,1
AK,42543,29.0,1375.3899999999999,1
AK,51167,28.0,691817.15,2
AK,70727,28.0,10814.79,2
AK,68546,27.0,54023.520000000004,1
