product_name,total_units,total_prescriptions,total_medicaid_spending,total_non_medicaid_spending,total_reimbursed,ndc_count,labeler_count
DISULFIRAM,1005143.5,28988.0,2393708.87,36514.1,2430222.97,7,3
SYFOVRE 15,422.831,3626.0,2393363.48,3982901.9,6376265.38,1,1
NEMLUVIO 3,568.0,436.0,2392844.73,4143.110000000001,2396987.84,1,1
MIRCERA 50,10123.131,31695.0,2392550.02,1368414.5799999998,3760964.6,1,1
KONVOMEP,1726150.0,6329.0,2389409.61,96373.07,2485782.68,3,1
ZAFEMY 150,94972.0,20319.0,2388129.7199999997,35676.83,2423806.55,1,1
XENPOZYME,213.70600000000002,45.0,2384410.07,0.0,2384410.07,2,1
OPDIVO 120,8828.52,540.0,2381397.87,179422.99,2560820.86,1,1
NEXLETOL,177107.0,4459.0,2378961.6,24520.79,2403482.39,1,1
ZERBAXA,13813.95,1007.0,2377932.08,1305.3,2379237.38,1,1
KATERZIA (,607602.3,4756.0,2371912.2,99582.75,2471494.95,1,1
AMIODARONE,7383194.995,160709.0,2363310.81,47015.17,2410325.98,24,11
POLIVY 30M,679.544,277.0,2362506.13,104168.06,2466674.19,1,1
SYSTANE,2425591.2800000003,142548.0,2358326.39,362.7,2358689.09,4,1
DEPAKOTE D,1224623.5150000001,5137.0,2354910.62,70696.31,2425606.93,3,1
LYRICA 200,242066.0,3153.0,2352358.81,162.0,2352520.81,2,2
LIALDA,266839.0,2587.0,2351492.14,4406.139999999999,2355898.28,2,1
L-GLUTAMIN,393760.0,1094.0,2347990.08,22818.94,2370809.02,1,1
TENOFOVIR,2419553.0,60662.0,2347189.74,13888.56,2361078.3,7,7
SUNLENCA (,395.994,135.0,2341607.12,21645.0,2363252.12,4,1
NARCAN,8073.45,40214.0,2331507.17,1687.95,2333195.12,2,1
REVLIMID(L,2681.0,136.0,2323679.9,51367.22,2375047.12,2,1
LONSURF 15,10792.0,214.0,2323593.56,8022.82,2331616.38,3,1
SULFASALAZ,10578899.413,77438.0,2321559.3,38909.44,2360468.74,8,3
FYCOMPA 2M,126111.0,2490.0,2318406.2600000002,225724.74,2544131.0,1,1
LIOTHYRONI,6426619.5,97615.0,2315477.67,39615.1,2355092.77,22,9
MYALEPT 11,370.0,24.0,2314068.57,0.0,2314068.57,2,2
CLIMARA PR,38711.0,7604.0,2308031.02,44686.74,2352717.76,1,1
YEZTUGO,964.0,279.0,2307383.42,0.0,2307383.42,2,1
EDURANT,48519.0,1516.0,2306804.88,27880.9,2334685.78,1,1
NARCAN - N,10593.1,44246.0,2306353.07,9744.54,2316097.61,1,1
ENSPRYNG 1,154.0,145.0,2306039.35,155771.37,2461810.7199999997,1,1
MODAFINIL,3344477.5,85379.0,2303360.18,53609.44,2356969.62,26,7
TM-VITE RX,834077.0,14661.0,2303202.7800000003,0.0,2303202.7800000003,1,1
POTELIGEO,3213.25,216.0,2298084.17,410352.97000000003,2708437.14,1,1
JOURNAVX,151143.0,5061.0,2293913.4,18329.190000000002,2312242.59,2,1
CEFUROXIME,2651114.981,164026.0,2289320.59,162055.66,2451376.25,29,7
SAVELLA 10,279409.0,4282.0,2282595.69,19940.95,2302536.64,1,1
FENTANYL T,224503.001,24169.0,2281522.03,30007.14,2311529.17,22,4
PYLARIFY,741.4639999999999,724.0,2281222.95,1168963.44,3450186.39,2,1
ONDANS OD,3547572.625,176042.0,2279541.46,183111.49,2462652.95,4,1
JYNARQUE 1,5936.0,106.0,2276795.44,0.0,2276795.44,1,1
DONEPEZIL,8032831.0,225897.0,2270261.58,35434.57,2305696.15,44,10
AZSTARYS 3,175938.0,5939.0,2266840.8200000003,162152.73,2428993.5500000003,1,1
FLUOROURAC,5666966.997,82490.0,2262842.43,2027415.47,4290257.9,48,13
LAMICTAL O,164897.0,1884.0,2258651.28,183533.17,2442184.45,4,1
LETAIRIS,5170.0,173.0,2247636.41,18241.09,2265877.5,1,1
PAVBLU (AF,125.925,2072.0,2247167.39,919828.26,3166995.65,2,1
HYOSCYAMIN,7242814.92,116016.0,2243674.05,46239.32,2289913.37,16,6
ONFI 20 MG,39049.0,671.0,2239930.4,66270.01999999999,2306200.42,1,1
CARBAGLU,10140.0,50.0,2237088.8,0.0,2237088.8,1,1
BISOPROLOL,6407749.0,121411.0,2236894.26,19757.57,2256651.83,80,16
UPTRAVI 80,5676.0,105.0,2236025.18,0.0,2236025.18,1,1
PROCENTRA,1376709.0,5847.0,2234685.41,16516.37,2251201.78,1,1
ALPHANATE,2123785.85,229.0,2226300.11,0.0,2226300.11,4,1
NEXLETOL 1,163704.0,4060.0,2224914.6,19960.89,2244875.49,1,1
NABUMETONE,8178907.7,187707.0,2224240.25,23284.45,2247524.7,20,6
ANNOVERA R,962.095,1012.0,2221258.96,19581.07,2240840.03,1,1
ELOCTATE 1,806756.0,91.0,2220526.51,0.0,2220526.51,2,1
CEFDINIR 3,2711363.666,161030.0,2216679.33,45018.78,2261698.11,7,7
VYZULTA 0.,22757.0,6454.0,2213265.7800000003,120157.23999999999,2333423.02,2,1
DIAZEPAM T,9736788.6,261655.0,2211373.15,30714.85,2242088.0,12,2
ZILEUTON E,519992.0,4407.0,2205307.69,532.1899999999999,2205839.88,5,5
BREYNA  80,146319.5,10904.0,2202788.87,641832.44,2844621.31,1,1
GAVILYTE-G,414097009.0,100402.0,2202125.19,20014.48,2222139.67,1,1
PROCYSBI,9852.0,36.0,2198824.96,0.0,2198824.96,2,1
SAJAZIR,657.0,46.0,2197542.61,0.0,2197542.61,1,1
ZIRABEV 10,34856.3,2518.0,2194428.97,238853.62,2433282.59,1,1
TAFINLAR 7,18090.0,159.0,2192426.39,104032.9,2296459.29,1,1
PYRUKYND,4704.0,77.0,2190516.01,51379.4,2241895.41,2,1
MEKINIST P,114480.0,311.0,2190171.27,60239.21,2250410.48,1,1
LOSARTAN 2,11924549.74,253794.0,2186110.91,37809.95,2223920.86,4,2
TICAGRELOR,1125001.0,16506.0,2184461.9,98566.25,2283028.15,9,7
PRALUENT 1,8802.0,3906.0,2184281.87,39032.91,2223314.78,1,1
UMECLIDINI,372166.0,5833.0,2182938.44,15600.98,2198539.42,1,1
BENAZEPRIL,9854034.5,163407.0,2180340.38,15623.26,2195963.64,51,10
TRAVATAN Z,22973.0,5839.0,2180222.55,32880.06,2213102.61,3,2
IMIQUIMOD,726387.402,70318.0,2176734.9,29552.84,2206287.74,8,5
TIMOLOL MA,818770.5,117318.0,2175707.99,24289.12,2199997.11,43,16
FRUZAQLA (,1743.0,83.0,2173656.77,24358.84,2198015.61,1,1
ASMANEX TW,3451.505,17267.0,2169793.27,33653.3,2203446.57,4,1
RETEVMO,6584.0,119.0,2167008.33,28021.96,2195030.29,2,1
GAZYVA,19160.4,529.0,2165452.07,573929.48,2739381.55,1,1
NUTROPIN A,3126.0,474.0,2158412.4899999998,39242.22,2197654.71,3,1
ONIVYDE 43,9707.222,537.0,2157911.16,178496.39,2336407.55,1,1
BYLVAY,1950.0,27.0,2156697.41,29826.72,2186524.13,2,1
MINIVELLE,132310.0,11056.0,2155092.17,357.31,2155449.48,5,1
KANJINTI,1667.004,1431.0,2151963.93,544397.0499999999,2696360.98,3,1
PREMPRO .6,249250.0,6490.0,2148718.82,25807.68,2174526.5,1,1
VOTRIENT T,14501.0,147.0,2147861.96,0.0,2147861.96,1,1
DOXYLAMINE,1410144.0,22395.0,2145379.16,63645.18,2209024.34,5,5
VELPHORO 5,324263.0,2834.0,2144506.25,326918.36,2471424.61,1,1
ELIGARD,5234.077,5179.0,2143040.86,1305098.1,3448138.96,9,2
FOSAPREPIT,59894.993,47487.0,2142840.7399999998,5585471.95,7728312.69,19,16
MINOXIDIL,8753247.2,175784.0,2141774.38,20877.27,2162651.65,9,5
ENILLORING,34564.0,20307.0,2138816.46,12255.7,2151072.16,2,1
MUCUS RELI,3675177.0,97908.0,2130683.05,962.61,2131645.66,33,8
KALYDECO 1,4424.0,79.0,2129550.14,27.0,2129577.14,1,1
AMJEVITA,2024.8,1442.0,2124715.05,664351.64,2789066.69,6,1
FANAPT 2MG,72636.0,1463.0,2122848.53,7350.469999999999,2130199.0,1,1
ARALAST NP,4332701.0,591.0,2121815.85,244144.65,2365960.5,2,1
TOLECTIN 6,66200.0,564.0,2120870.62,209.08,2121079.7,1,1
MEKINIST 2,4140.0,138.0,2111269.26,211369.79,2322639.05,1,1
RITUXAN 50,36433.0,504.0,2110543.2199999997,235792.81,2346336.0300000003,1,1
REBIF,1194.0,204.0,2107706.99,0.0,2107706.99,1,1
JAYPIRCA,5520.0,93.0,2105711.87,0.0,2105711.87,1,1
LUMIZYME 5,2163.0,52.0,2104671.4,46424.54,2151095.94,1,1
AVONEX (4,1000.0,222.0,2095121.6400000001,0.0,2095121.6400000001,1,1
KETOPROFEN,210953.64,11681.0,2094892.35,0.0,2094892.35,1,1
CARNITOR,178591.01499999998,8433.0,2094101.11,63104.42,2157205.53,3,1
DEFERIPRON,23446.0,231.0,2093140.96,44570.64,2137711.6,3,2
AURYXIA,303094.049,1798.0,2089376.36,509989.64,2599366.0,1,1
MESTINON 6,152455.0,706.0,2089043.26,2435.68,2091478.94,2,1
MICAFUNGIN,51894.611,8144.0,2087029.89,25372.43,2112402.32,24,8
HYDROXYURE,6065650.244,87023.0,2084168.37,39228.77,2123397.14,7,6
BETHKIS 30,79232.0,377.0,2083761.77,38379.84,2122141.61,2,1
AVSOLA 100,7442.0,1383.0,2077501.27,202486.24,2279987.51,1,1
OMEGA 3 AC,8928278.0,67908.0,2071100.9400000002,20516.6,2091617.54,2,2
FENTANYL,207189.05,22382.0,2069116.4,22864.78,2091981.18,23,4
XELJANZ 1M,111124.0,366.0,2062221.34,170404.15,2232625.49,1,1
IBSRELA 50,69092.0,1094.0,2061107.9300000002,5702.04,2066809.97,1,1
XARELTO 15,115254.0,3318.0,2055778.76,116554.87,2172333.63,2,1
GLYXAMBI 2,102409.0,2499.0,2052107.94,29640.24,2081748.18,3,1
TADLIQ (TA,171231.508,1308.0,2051727.74,93482.4,2145210.14,1,1
STRENSIQ 2,747.6,72.0,2045052.3900000001,119618.45,2164670.84,1,1
POLIVY,412.353,176.0,2044369.28,264225.24,2308594.52,2,1
URSODIOL C,3327696.483,40493.0,2040949.3900000001,48148.31,2089097.7,7,7
TELMISARTA,4609373.0,89817.0,2040877.38,26786.23,2067663.61,51,11
ECONTRA ON,62224.962,45028.0,2039362.29,376676.39,2416038.68,3,1
TEMAZEPAM,6720455.0,232332.0,2031438.55,16893.94,2048332.49,19,4
BANZEL 200,172770.0,1079.0,2029580.78,135556.67,2165137.45,1,1
HUMALOG JU,203283.15,11531.0,2025781.26,73838.22,2099619.48,1,1
XOSPATA,6511.0,106.0,2025719.67,46500.29,2072219.96,1,1
PROTONIX,143956.0,4175.0,2017933.59,3573.6,2021507.19,3,1
ADVAIR 100,795603.0,12139.0,2015607.95,1406.27,2017014.22,1,1
ACTEMRA 16,1585.8,558.0,2012641.82,18749.260000000002,2031391.08,1,1
VERQUVO,90500.0,2298.0,2012018.18,9178.02,2021196.2,6,1
JAVYGTOR 5,15141.0,247.0,2011483.7,47087.009999999995,2058570.71,1,1
CONSTULOSE,74190829.41,89074.0,2010293.3,26546.12,2036839.42,2,1
CORLANOR,229262.0,2992.0,2007938.89,26322.52,2034261.41,3,1
RITALIN LA,162085.0,5608.0,2004492.01,1838.95,2006330.96,4,1
ARANESP (D,4181.58,5608.0,2001175.45,781047.94,2782223.39,20,1
FERRIC CIT,307985.104,1654.0,1996400.41,7062.96,2003463.37,1,1
LAMZEDE 10,590.0,91.0,1985539.6099999999,949553.81,2935093.42,2,1
VOTRIENT,13455.0,144.0,1981255.9100000001,0.0,1981255.9100000001,1,1
LEXISCAN .,121287.48,26029.0,1979484.22,1323767.48,3303251.7,1,1
HISTEX PD,3827794.95,121180.0,1978509.95,159.38,1978669.33,2,1
ONFI 10 MG,76661.0,1076.0,1976921.92,285669.2,2262591.12,1,1
PROMACTA O,7650.0,117.0,1974040.5499999998,0.0,1974040.5499999998,1,1
ESZOPICLON,4807152.0,172766.0,1973957.71,45954.05,2019911.76,26,9
INLYTA 5 M,6084.0,108.0,1973169.22,99781.98000000001,2072951.2,1,1
NYSTATIN C,4819457.394,152505.0,1971489.58,21204.29,1992693.8699999999,6,3
ENDARI,317280.0,702.0,1970999.47,60057.69,2031057.1600000001,1,1
KADCYLA 16,369.916,294.0,1970849.77,182907.86,2153757.63,1,1
WINLEVI (C,208300.0,3530.0,1969708.28,58454.35,2028162.63,1,1
RASUVO,5592.6,3160.0,1967524.3900000001,15323.74,1982848.1300000001,8,1
PADCEV  EN,831.333,348.0,1966715.25,0.0,1966715.25,2,1
DOCETAXEL,83310.535,9903.0,1966120.24,990544.86,2956665.1,38,15
CLARAVIS C,840580.0,17918.0,1966066.3800000001,147787.26,2113853.64,7,1
VITAFOL GU,1307632.0,15144.0,1962861.49,19309.85,1982171.34,1,1
XEMBIFY,70980.0,1373.0,1959029.11,367274.95,2326304.06,4,1
VIENVA,6545354.136,114690.0,1958841.23,2735.92,1961577.15,2,1
XULANE 150,68702.0,11997.0,1955809.13,7047.889999999999,1962857.02,1,1
COPAXONE (,8454.0,275.0,1955420.19,181.5,1955601.69,1,1
INVOKANA 3,102834.0,2415.0,1952682.23,607.38,1953289.6099999999,2,1
BACITRACIN,5712313.114,194367.0,1944986.9,122881.71,2067868.61,23,12
ROZEREM 8,157737.0,4811.0,1944952.25,0.0,1944952.25,2,1
FYLNETRA (,508.1,871.0,1937898.0,43101.14,1980999.14,1,1
TURALIO 12,9806.0,102.0,1937322.22,0.0,1937322.22,1,1
VECTIBIX 4,5756.5,329.0,1933065.93,0.0,1933065.93,1,1
PRISTIQ ER,139578.0,3950.0,1930235.43,455.19,1930690.62,5,1
PURIXAN,147143.0,1583.0,1929602.93,122480.64,2052083.57,1,1
FASENRA 30,497.33299999999997,544.0,1926672.4,392271.48,2318943.88,1,1
NPLATE 125,2313.7,1410.0,1924650.6500000001,523614.02999999997,2448264.68,1,1
FORMOTEROL,1223751.0,10006.0,1921735.45,596509.9,2518245.35,16,8
SKYTROFA 4,1828.0,447.0,1921432.59,27528.44,1948961.03,1,1
MIRCERA 75,12784.892,32803.0,1921355.31,1120677.01,3042032.32,1,1
RAYALDEE 3,47736.0,1168.0,1920438.4100000001,7245.73,1927684.14,2,1
PROGLYCEM,125319.0,1196.0,1920433.93,1439.23,1921873.16,1,1
RIABNI,67530.0,1204.0,1917953.45,326629.99,2244583.44,2,1
EVKEEZA 34,349.6,58.0,1912068.18,0.0,1912068.18,1,1
NYSTATIN T,4341657.558,93262.0,1909086.3,29356.48,1938442.78,13,5
QBRELIS (L,451707.0,2692.0,1907486.42,108544.68,2016031.1,1,1
GLUCAGON 1,10769.3,7752.0,1904541.4,65315.02,1969856.42,8,4
YONDELIS,583.9,352.0,1904127.81,137302.46,2041430.27,1,1
WIXELA INH,1318680.0,20212.0,1900198.88,135800.69,2035999.57,3,1
ENOXAP SOD,245129.732,15503.0,1897239.54,75554.86,1972794.4,10,1
VEOZAH 45,108233.0,3259.0,1893760.52,65401.86,1959162.38,1,1
ZOLMITRIPT,173824.0,20135.0,1892072.2,59702.45,1951774.65,19,9
PERSERIS E,1008.0,766.0,1891845.46,27102.82,1918948.28,2,1
GLYXAMBI,94783.0,2319.0,1888135.29,26023.81,1914159.1,5,1
BENDEKA 10,6018.88,794.0,1887873.74,350416.38,2238290.12,1,1
ALVAIZ TAB,5930.0,151.0,1887243.21,239804.31,2127047.52,3,1
ROZEREM,152502.5,5406.0,1885276.35,1769.6,1887045.95,2,1
LATUDA  LU,44816.0,1103.0,1885110.26,58274.87,1943385.1300000001,5,1
ADCIRCA 20,27567.0,551.0,1882807.4,0.0,1882807.4,1,1
DARZALEX,22182.0,498.0,1882718.01,459053.43,2341771.44,2,1
NAPROXEN S,1769233.0,42678.0,1882072.62,13011.72,1895084.34,25,11
KUVAN,21810.0,293.0,1879461.16,24895.409999999996,1904356.57,3,1
TECVAYLI 1,664.776,630.0,1877809.22,778121.16,2655930.38,1,1
LEFLUNOMID,3064930.0,78795.0,1877729.27,33763.78,1911493.05,13,7
LOSARTAN H,9186245.0,148763.0,1876998.6099999999,26979.35,1903977.96,20,3
NEURONTIN,293829.0,3554.0,1876055.69,9046.16,1885101.85,6,1
SOTYKTU 6,8580.0,282.0,1875434.5799999998,67585.25,1943019.83,1,1
HALOBETASO,2271665.0,48186.0,1874999.6300000001,10460.23,1885459.86,12,5
SYMDEKO  T,3472.0,74.0,1867435.0,24534.42,1891969.42,1,1
XENAZINE 2,4990.0,68.0,1862663.0099999998,0.0,1862663.0099999998,1,1
OCALIVA,5713.0,143.0,1860832.67,0.0,1860832.67,2,1
ELLA (ULIP,45143.64,32266.0,1858614.3900000001,813.5,1859427.8900000001,1,1
LUCENTIS -,287.536,4901.0,1858602.01,461286.25,2319888.26,2,1
AZOPT,51270.0,4439.0,1850025.6099999999,3039.3,1853064.91,4,2
ROCURONIUM,208226.67799999999,46683.0,1846361.69,1967195.59,3813557.28,62,19
ZENATANE,673193.0,14173.0,1844834.45,38758.32,1883592.77,4,1
TWIRLA 120,28215.0,5723.0,1841725.11,8231.91,1849957.02,1,1
LIDOCAINE-,3671490.739,102641.0,1841504.92,11841.05,1853345.97,17,11
POLIVY 140,113.164,135.0,1839291.72,278922.0,2118213.72,1,1
ATENOLOL,12067379.33,224242.0,1838411.99,5512.54,1843924.53,45,9
PHYTONADIO,125502.1,7892.0,1833217.75,123486.77,1956704.52,14,8
BESREMI (R,214.0,141.0,1831992.73,0.0,1831992.73,1,1
LIORESAL I,55695.25,2264.0,1831376.66,423599.19,2254975.85,5,1
NEO/POLY/H,336389.15,33809.0,1830745.53,24947.44,1855692.97,3,2
OJEMDA 25,2496.0,40.0,1829478.4900000002,0.0,1829478.4900000002,1,1
MAYZENT,5550.0,155.0,1825384.69,18257.99,1843642.6800000002,1,1
BLISOVI FE,6988679.797,129666.0,1825150.02,4360.84,1829510.86,5,1
VIMPAT 10,891264.0,1229.0,1820090.6400000001,143795.96,1963886.6,1,1
METHENAMIN,3118692.0,52612.0,1817599.76,45610.12,1863209.88,9,8
XARELTO OR,514416.0,2159.0,1816694.54,100588.79000000001,1917283.33,1,1
NIVESTYM,6136.814,4223.0,1815422.25,75852.27,1891274.52,7,1
COSENTYX,4748.04,735.0,1815054.6,575489.33,2390543.93,1,1
VALTOCO 5,5434.0,1378.0,1814849.6099999999,118747.9,1933597.51,2,1
REZUROCK 2,3060.0,74.0,1813698.39,0.0,1813698.39,1,1
ONYDA XR 0,149206.5,2848.0,1811200.4400000002,68217.34,1879417.78,2,1
INDOMETHAC,5232090.4,110929.0,1809635.07,39322.340000000004,1848957.41,16,6
EMFLAZA 18,6655.0,231.0,1809046.97,225122.43,2034169.4,1,1
PROMACTA 2,7203.0,200.0,1806132.54,0.0,1806132.54,1,1
PALIVIZUMA,532.5,572.0,1802264.9,45219.43,1847484.33,2,1
XARELTO 2.,199167.0,2966.0,1794914.7,82340.99,1877255.69,2,1
RIFABUTIN,212012.0,5782.0,1792398.61,37272.13,1829670.74,2,2
RECORLEV,4590.0,65.0,1791070.0899999999,0.0,1791070.0899999999,1,1
FULVESTRAN,80738.7,8433.0,1790747.31,404289.52,2195036.83,26,17
PROCTOFOAM,97204.0,8845.0,1789803.4,41290.5,1831093.9,2,1
CAPVAXIVE,3195.5,6077.0,1788368.85,10754.73,1799123.58,2,1
PEMFEXY,20355.920000000002,649.0,1787107.37,707570.07,2494677.44,1,1
ALTRIXA OR,41339.0,860.0,1785389.58,0.0,1785389.58,1,1
TEGRETOL T,597777.0,5163.0,1782316.66,21741.67,1804058.33,1,1
EGRIFTA SV,3513.0,230.0,1777122.63,0.0,1777122.63,1,1
LAMZEDE,412.0,74.0,1776262.84,1670245.29,3446508.13,2,1
AZSTARYS 5,140126.0,4709.0,1775118.0,165137.23,1940255.23,1,1
PANZYGA 10,25551.0,272.0,1769616.24,91925.12000000001,1861541.3599999999,6,2
INVOKAMET,183931.0,2217.0,1766813.31,10825.42,1777638.73,5,1
HORIZANT (,98561.0,1930.0,1759256.82,4605.09,1763861.91,2,1
PRENATAL V,10857305.0,240616.0,1759139.16,14873.31,1774012.47,5,4
ZERBAXA 1,12981.217,842.0,1753564.52,20938.76,1774503.28,1,1
FIDAXOMICI,8598.0,450.0,1753108.6300000001,38189.16,1791297.79,1,1
XIAFLEX 0.,313.399,349.0,1752822.72,16608.86,1769431.58,1,1
SYSTANE BA,960664.5,80612.0,1750683.93,12.5,1750696.43,2,1
CARBATROL,1028484.0,9183.0,1750511.41,53834.01,1804345.42,3,1
BYETTA,3522.0,2089.0,1747977.57,3835.2700000000004,1751812.84,2,1
ABRAXANE,2241.83,1499.0,1744834.45,1382571.81,3127406.2600000002,1,1
RYLAZE,222.7,153.0,1743551.8800000001,0.0,1743551.8800000001,2,1
ELURYNG,31045.0,18354.0,1740857.31,9340.5,1750197.81,1,1
FIASP 100,64121.0,2582.0,1732822.6099999999,229778.82,1962601.43,2,1
ALUNBRIG,2527.0,80.0,1732517.49,18032.46,1750549.95,2,1
ORKAMBI (L,5600.0,102.0,1729919.81,536130.27,2266050.08,1,1
INVOKANA 1,90952.0,2097.0,1728769.67,1533.02,1730302.69,2,1
HADLIMA PU,2690.8,1249.0,1721231.08,182.0,1721413.08,1,1
ONUREG,924.0,70.0,1713902.24,0.0,1713902.24,1,1
LYRICA 50,175375.0,2681.0,1713339.93,29.5,1713369.43,2,2
GABLOFEN,83475.0,2775.0,1713039.81,1181181.66,2894221.47,4,1
CLEARLAX,44153262.238,101758.0,1711040.04,832.62,1711872.66,20,6
ONIVYDE,7742.322,502.0,1708501.91,389969.99,2098471.9,1,1
CELLCEPT O,221152.5,1143.0,1704974.1400000001,15253.15,1720227.29,1,1
NICOTINE 4,5559356.0,37616.0,1699612.34,9449.95,1709062.29,26,8
NOVOLIN R,326571.19,26276.0,1698882.98,194874.83,1893757.81,4,1
ANASTROZOL,5030326.0,134645.0,1697918.91,33163.08,1731081.99,17,9
AVONEX  IN,812.0,191.0,1697412.47,0.0,1697412.47,1,1
BIVIGAM 10,111277.0,502.0,1697292.3800000001,21937.32,1719229.7,4,1
RUKOBIA ER,11610.0,195.0,1689279.28,34445.9,1723725.18,1,1
TOBRADEX O,20584.5,5841.0,1685150.55,40458.19,1725608.74,1,1
AMINOCAPRO,974496.957,4344.0,1684973.14,87818.83,1772791.97,13,8
TOBRADEX,20682.4,5755.0,1684912.13,27706.66,1712618.79,1,1
SAPHRIS,86795.0,1739.0,1684815.74,29986.489999999998,1714802.23,3,1
SARCLISA,16398.0,679.0,1681917.11,517931.36,2199848.47,2,1
FANAPT 1MG,57772.0,1241.0,1681301.32,18444.56,1699745.88,1,1
PADCEV 30,431.103,212.0,1681291.66,157804.86,1839096.52,1,1
AKYNZEO,72321.0,3721.0,1680780.53,574825.47,2255606.0,4,1
REGADENOSO,225290.8,50286.0,1679214.16,3101009.56,4780223.72,12,10
EVOTAZ,32566.0,991.0,1678834.51,19874.31,1698708.82,1,1
PERSERIS 9,816.024,820.0,1677594.26,31214.64,1708808.9,1,1
EYLEA  (AF,52.45,1020.0,1672259.53,0.0,1672259.53,2,1
DRL NICOTI,4622578.64,35572.0,1671458.06,998.7,1672456.76,2,1
LINEZOLID,1214138.0320000001,31289.0,1667987.6199999999,28406.62,1696394.24,16,9
VELSIPITY,7890.0,257.0,1665275.73,13.0,1665288.73,1,1
INTRALIPID,5130002.296,5969.0,1663690.2,87719.92,1751410.12,12,2
ELFABRIO,3799.0,68.0,1661762.5499999998,0.0,1661762.5499999998,1,1
SUTAB ORAL,235032.0,9992.0,1660544.32,23766.54,1684310.86,1,1
ADEMPAS 1M,10692.0,136.0,1656532.04,6286.09,1662818.13,1,1
DAPSONE,1221111.18,21003.0,1655093.04,26182.86,1681275.9,37,17
PALONOSETR,460478.99,90717.0,1654518.55,9475631.6,11130150.15,20,16
RECOMBINAT,1242154.0,81.0,1653956.26,108451.46,1762407.72,1,1
OXYMORPHON,112986.0,1934.0,1653323.53,21714.489999999998,1675038.02,12,1
IZERVAY,408.825,2664.0,1652738.59,2898796.51,4551535.1,1,1
DAVIMET WI,25770.0,349.0,1651868.26,0.0,1651868.26,2,1
VEGZELMA 1,12835.4,982.0,1651863.17,207281.72,1859144.89,1,1
OLUMIANT 4,9150.0,289.0,1651770.25,16789.15,1668559.4,1,1
CEFEPIME H,186720.541,21147.0,1650702.12,374897.74,2025599.86,24,6
QUTENZA (C,1123.339,979.0,1648638.27,354217.11,2002855.3800000001,3,1
JUBLIA 4ML,8940.0,2185.0,1648259.56,11637.91,1659897.47,1,1
BESREMI  R,183.0,84.0,1646813.75,0.0,1646813.75,1,1
IPRAT-ALBU,15810508.793,97328.0,1645365.17,92184.31999999999,1737549.49,23,6
ATENOLOL T,11224355.322,177062.0,1644209.59,25392.56,1669602.15,23,5
RUXIENCE 5,48817.1,653.0,1643940.03,90821.37,1734761.4,1,1
VENOFER 10,317206.025,44032.0,1643782.6,65684.8,1709467.4,7,2
SITAGLIPTI,355671.0,7369.0,1641030.78,13475.939999999999,1654506.72,8,1
TRUXIMA 50,52177.0,518.0,1633800.02,285139.37,1918939.3900000001,1,1
TADLIQ  TA,131609.008,833.0,1632605.25,13488.43,1646093.6800000002,1,1
PRAMIPEXOL,9006396.0,145970.0,1632245.17,26353.67,1658598.84,40,8
PHOTREXA C,432.0,357.0,1627372.05,15333.8,1642705.85,1,1
LDR ARTHRI,9361401.0,69764.0,1615377.5,526.29,1615903.79,3,1
ACETYLCYST,1632172.78,11941.0,1615257.23,72400.81,1687658.04,24,8
APIDRA 3ML,150780.1,7075.0,1612063.01,6917.49,1618980.5,1,1
VORICONAZO,348749.8,4720.0,1611099.18,59851.75,1670950.93,19,13
JUBLIA TOP,8748.0,1127.0,1610379.78,8942.29,1619322.07,1,1
XTANDI 80,7432.0,161.0,1607743.43,119677.18,1727420.6099999999,1,1
AVASTIN 10,7445.694,18757.0,1607286.74,285045.38,1892332.1199999999,1,1
DALFAMPRID,768848.0,11986.0,1604139.48,25336.57,1629476.05,4,4
SUTAB,230415.0,9726.0,1600906.05,17847.489999999998,1618753.54,1,1
CODEINE PH,3061303.0,93653.0,1599661.26,24702.17,1624363.43,5,1
AVYCAZ (CE,6281.23,682.0,1599085.33,0.0,1599085.33,1,1
BROMOCRIPT,849584.1,12925.0,1596363.27,20809.61,1617172.88,8,5
KENALOG-40,442946.4,385209.0,1596265.99,3652407.5500000003,5248673.54,3,1
DEFENCATH,74995.92,20247.0,1595916.36,2928484.58,4524400.9399999995,2,1
JYNARQUE 3,4144.0,74.0,1592584.74,33.0,1592617.74,1,1
CLOMIPRAMI,2782678.86,45774.0,1591825.8,71961.11,1663786.91,48,12
WIXELA 500,799479.0,10699.0,1591557.04,154987.88,1746544.9200000002,1,1
ENLYTE,307515.0,10137.0,1590784.2200000002,923.09,1591707.31,1,1
ATORVAST C,6327173.5,143462.0,1589750.41,46585.82,1636336.23,12,1
MERCAPTOPU,852267.28,18411.0,1588729.6,58090.24,1646819.84,6,3
MILRINONE,18472808.177,17713.0,1588091.8,250387.36000000002,1838479.16,32,10
STRIBILD T,11250.0,350.0,1585223.8,2849.17,1588072.97,1,1
TEFLARO 60,6234.24,969.0,1582331.7,61248.26,1643579.96,2,1
FOSFOMYCIN,58299.0,17437.0,1582272.43,54797.18,1637069.61,6,4
ISTURISA,8500.0,69.0,1580699.72,15114.01,1595813.73,1,1
GLUMETZA,15561.0,204.0,1579940.24,0.0,1579940.24,2,1
KATERZIA 1,412402.2,2838.0,1578714.3,56926.229999999996,1635640.53,1,1
AMPICILLIN,824008.221,51929.0,1572596.23,551861.21,2124457.44,73,15
