product_name,total_units,total_prescriptions,total_medicaid_spending,total_non_medicaid_spending,total_reimbursed,ndc_count,labeler_count
INSULIN LI,23247841.039,1113639.0,164368792.83,2670575.31,167039368.14,6,1
SKYRIZI IN,16978.406,7481.0,154960939.88,4328277.61,159289217.49,2,1
MAVYRET,1025468.0,10871.0,154121075.51,463943.77999999997,154585019.29,2,1
RESTASIS,5883960.9,197206.0,152274273.69,1001280.74,153275554.43,2,1
SUBOXONE 8,17327197.6,519576.0,151899970.21,828825.15,152728795.36,2,1
REXULTI,3102801.5,101911.0,149562571.85,1234988.47,150797560.32,6,1
ALTUVIIIO,29768513.0,4137.0,147658969.65,8634735.25,156293704.9,6,1
RAVICTI,659775.0,2412.0,147543827.55,4004123.59,151547951.14,1,1
TRINTELLIX,9016241.01,270691.0,145624807.69,3662314.33,149287122.02,3,1
PULMOZYME,2887087.0,32593.0,139895822.79,9001199.76,148897022.55,1,1
UBRELVY 10,1339496.0,124436.0,138584626.8,1136949.69,139721576.49,3,1
ENBREL  ET,71427.0,17199.0,138306897.21,1867044.63,140173941.84,5,1
KESIMPTA S,6191.0,13697.0,137768513.68,1986483.68,139754997.36,1,1
ADVAIR DIS,41142769.0,609984.0,137206017.45,308343.61,137514361.06,4,1
DESCOVY,1946796.0,56372.0,137102410.07,894991.13,137997401.2,3,1
GAMMAGARD,1313539.328,31277.0,135502250.2,10994318.57,146496568.77,14,1
KESIMPTA P,6114.0,13459.0,135022259.31,2170960.26,137193219.57,1,1
AMOXICILLI,935507222.295,11492661.0,134699744.35999998,1248528.54,135948272.9,186,16
CAPLYTA 42,2483880.0,81540.0,134501612.03,1457311.71,135958923.74,1,1
INGREZZA 8,492406.0,17027.0,133858949.49,642806.73,134501756.22,1,1
GENOTROPIN,150467.0,26462.0,132274026.56,6770813.33,139044839.89,11,1
NEXPLANON,119297.957,115807.0,131389537.77,5434266.83,136823804.6,2,2
SUBOXONE S,14143254.125,393595.0,130309475.56,327865.34,130637340.9,6,1
DOVATO,1325596.0,39696.0,130135091.2,1315322.83,131450414.03,2,1
XOLAIR,103753.472,51096.0,129893430.56,7926328.74,137819759.3,10,1
TRIKAFTA 1,416218.0,5208.0,129790606.2,8366678.96,138157285.16,2,1
MOUNJARO 5,257742.0,126414.0,128603672.13,5250782.6899999995,133854454.82,1,1
XIFAXAN,2365053.028,44143.0,128333680.11,807176.29,129140856.4,3,1
BRIXADI,37567.045,90635.0,127442056.71,476108.12,127918164.83,7,1
XARELTO,7672186.25,184735.0,126537784.75,3205759.6,129743544.35000001,18,1
VIVITROL,84709.362,80118.0,126511174.01,941435.1900000001,127452609.2,2,1
LUPRON DEP,40020.68,38166.0,125965469.54,4767103.4,130732572.94,12,1
KISQALI FC,398734.0,7748.0,124562624.8,1725962.74,126288587.54,3,1
TEPEZZA,7416.0160000000005,3097.0,123860025.03,4369674.87,128229699.89999999,1,1
DARZALEX F,296207.753,20060.0,123729343.07000001,32524822.59,156254165.66,1,1
WINREVAIR,6908.0,6887.0,122400928.13,1152317.48,123553245.61,4,1
SKYRIZI ON,13852.249,5804.0,122033771.0,2593610.35,124627381.35000001,2,1
CREON,14637919.0,60487.0,121537646.24,3684956.78,125222603.02,9,1
CABENUVA I,113583.991,19677.0,120475146.03,1179845.99,121654992.02,2,1
